ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),Unnamed: 7,clarity_score,naturalness_score,correctness_score,has_critical_error
NF-0153,bedrock-claude-3-5-sonnet,Yoruba,Affordable and Clean Energy,16,2025-11-27T12:30:24.283161,Agbára òòrùn jẹ́ ọ̀nà tó dára láti ṣe àmúlò iná tí kò nílọ́wọ́.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Affordable_and_Clean_Energy-15,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,6,6,5,0
GN-8844,bedrock-claude-3-5-sonnet,Yoruba,Affordable and Clean Energy,20,2025-11-27T12:30:24.285861,Ìmọ̀lẹ̀ oòrùn jẹ́ ọ̀nà tó wọ́pọ̀ láti ní agbára tó péye.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Affordable_and_Clean_Energy-19,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,6,7,0
JH-1069,bedrock-claude-3-5-sonnet,Yoruba,Affordable and Clean Energy,24,2025-11-27T12:30:24.282165,Oorun ati afẹfẹ jẹ orisun agbara ti o rọrun ati ti o mọ fun gbogbo eniyan.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Affordable_and_Clean_Energy-23,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,7,5,5,0
RP-2050,bedrock-claude-3-5-sonnet,Yoruba,Affordable and Clean Energy,29,2025-11-27T12:30:24.282023,Àwọn ìlú wa nílò iná-mọ̀námọ́ná tó wọ́pọ̀ fún ìdàgbàsókè.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Affordable_and_Clean_Energy-28,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
NC-4973,bedrock-claude-3-5-sonnet,Yoruba,Affordable and Clean Energy,36,2025-11-27T12:30:24.284546,Àgbàlagbà mi ń lo ìtànná òòrùn láti fi ṣe iná fún ilé rẹ̀.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Affordable_and_Clean_Energy-35,claude-3-5-sonnet-20241022-v2,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,5,5,5,0
DA-3241,bedrock-claude-3-5-sonnet,Yoruba,Child health,2,2025-11-27T12:30:24.286450,Ọmọ rẹ nílò ounjẹ tó dára fún ìlera rẹ̀.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Child_health-1,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,6,7,7,0
PD-4677,bedrock-claude-3-5-sonnet,Yoruba,Child health,31,2025-11-27T12:30:24.288849,Ọmọ tí ó ní ìlera pípé yóò dàgbà dáradára.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Child_health-30,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,6,7,0
VI-1862,bedrock-claude-3-5-sonnet,Yoruba,Child health,39,2025-11-27T12:30:24.288264,Ọmọ yìí nílò oúnjẹ tó dára láti dàgbà dáradára.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Child_health-38,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
LM-5270,bedrock-claude-3-5-sonnet,Yoruba,Child health,45,2025-11-27T12:30:24.289339,Ọmọ rẹ gbọdọ̀ jẹ ounjẹ tó dára fún ìlera rẹ̀.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Child_health-44,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
IO-7434,bedrock-claude-3-5-sonnet,Yoruba,Child health,49,2025-11-27T12:30:24.289494,Ọmọ tó ńlé alaafia yóò dàgbà dáradára.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Child_health-48,claude-3-5-sonnet-20241022-v2,5 - Somewhat easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,5,6,5,0
